source_id,ra,dec,l,b,parallax,parallax_error,parallax_over_error,distance_gspphot,phot_g_mean_mag,bp_rp,pf,pf_error,p1_o,int_average_g,int_average_bp,int_average_rp,peak_to_peak_g,metallicity,type_best_classification,mode_best_classification
5523162573544337408,129.25540006750467,-44.114653602903005,262.88196685514094,-1.9107633259468926,0.6519868594191308,0.016741946,38.943314,1294.6648,6.850103,1.5812116,20.428878290964814,0.019189373,,6.7244577,7.346308,5.932911,0.9964169,,"DCEP","FUNDAMENTAL"
5523256203825403392,129.94061197026346,-43.86085351062159,262.97916426427855,-1.364848564138399,0.5310446036465994,0.012674638,41.898205,1590.5642,9.684736,1.4383001,3.1272818504986564,6.3764467E-4,,9.657162,10.288282,8.868259,0.3658498,,"DCEP","FUNDAMENTAL"
5523329321349889152,129.77018845330102,-43.312596880335455,262.46899357882313,-1.1288981712603254,0.15718794140059592,0.013748852,11.432805,,13.067179,2.8650093,3.8211127173833357,2.2251849E-4,,13.0571785,14.691341,11.834474,0.21460609,0.14214149,"DCEP","FUNDAMENTAL"
5524087125374526464,131.4333275022696,-42.620939305570545,262.673912967097,0.2557967439664773,0.23000807231673356,0.024714768,9.306503,1974.3265,14.603509,3.4392166,3.167392545676081,9.6636206E-5,,14.623771,16.730822,13.278836,0.48837304,0.0796935,"DCEP","FUNDAMENTAL"
5524866266801248768,130.29051333857936,-42.822249935177496,262.3128318807246,-0.5284405696392035,0.25545866204795414,0.016075209,15.891468,2371.8074,13.894581,3.01027,4.163301149249253,8.7933346E-5,,13.868754,15.602625,12.610874,0.43799838,0.19016983,"DCEP","FUNDAMENTAL"
5525918495131126912,126.02409889579424,-44.85227921388537,262.1232132038965,-4.209437804831878,0.1715963693554418,0.01614929,10.625629,2886.78,13.05628,2.2300158,5.591503400590431,2.2154747E-4,,13.072134,14.22405,12.0018635,0.6841184,0.002565408,"DCEP","FUNDAMENTAL"
5525963476334997632,126.82403788940178,-44.23933108508532,261.9499844316856,-3.3903905398344127,0.21901359272067158,0.012125278,18.062563,,13.488424,2.7121773,2.4503549630304953,2.4533857E-4,,13.479204,14.981222,12.271845,0.24900873,-0.5191064,"DCEP","FUNDAMENTAL"
5526165580313475584,127.09917579818422,-43.25663343256756,261.2651447800167,-2.6572457298170757,0.11129600100045603,0.016898096,6.586304,3186.1702,14.568667,2.3797655,2.564994790734649,3.078455E-5,,14.518826,15.749177,13.414448,0.50691986,0.0013927359,"DCEP","FUNDAMENTAL"
5526454476992052224,126.59843028558352,-42.33008663663583,260.2965892578309,-2.4179986964079077,0.16928949052824674,0.013813808,12.255093,4022.3782,14.088575,2.7756681,4.421293976954998,1.9916234E-4,,14.0549135,15.60506,12.852119,0.38814342,0.16909385,"DCEP","FUNDAMENTAL"
5526978119406752000,127.45211329708513,-41.22377569176993,259.76871972632983,-1.2557490418072248,0.2705209905411303,0.013884362,19.483862,,11.8555765,2.148655,7.20099621945158,2.7281177E-4,,11.828694,12.917824,10.789971,0.31391293,,"DCEP","FUNDAMENTAL"
